omega,S_connected_symmetrized
-4.287631693431497837e+01,0.000000000000000000e+00
-4.284884972295411387e+01,0.000000000000000000e+00
-4.282138251159324227e+01,0.000000000000000000e+00
-4.279391530023237777e+01,0.000000000000000000e+00
-4.276644808887150617e+01,0.000000000000000000e+00
-4.273898087751064168e+01,0.000000000000000000e+00
-4.271151366614977007e+01,0.000000000000000000e+00
-4.268404645478890558e+01,0.000000000000000000e+00
-4.265657924342803398e+01,0.000000000000000000e+00
-4.262911203206716948e+01,0.000000000000000000e+00
-4.260164482070629788e+01,0.000000000000000000e+00
-4.257417760934543338e+01,0.000000000000000000e+00
-4.254671039798456178e+01,0.000000000000000000e+00
-4.251924318662369728e+01,0.000000000000000000e+00
-4.249177597526282568e+01,0.000000000000000000e+00
-4.246430876390196119e+01,0.000000000000000000e+00
-4.243684155254108958e+01,0.000000000000000000e+00
-4.240937434118022509e+01,0.000000000000000000e+00
-4.238190712981935349e+01,0.000000000000000000e+00
-4.235443991845848899e+01,0.000000000000000000e+00
-4.232697270709761739e+01,0.000000000000000000e+00
-4.229950549573675289e+01,0.000000000000000000e+00
-4.227203828437588129e+01,0.000000000000000000e+00
-4.224457107301501679e+01,0.000000000000000000e+00
-4.221710386165414519e+01,0.000000000000000000e+00
-4.218963665029328070e+01,0.000000000000000000e+00
-4.216216943893240909e+01,0.000000000000000000e+00
-4.213470222757154460e+01,0.000000000000000000e+00
-4.210723501621067300e+01,0.000000000000000000e+00
-4.207976780484980850e+01,0.000000000000000000e+00
-4.205230059348893690e+01,0.000000000000000000e+00
-4.202483338212807240e+01,0.000000000000000000e+00
-4.199736617076720080e+01,0.000000000000000000e+00
-4.196989895940633630e+01,0.000000000000000000e+00
-4.194243174804546470e+01,0.000000000000000000e+00
-4.191496453668460020e+01,0.000000000000000000e+00
-4.188749732532372860e+01,0.000000000000000000e+00
-4.186003011396286411e+01,0.000000000000000000e+00
-4.183256290260199250e+01,0.000000000000000000e+00
-4.180509569124112801e+01,0.000000000000000000e+00
-4.177762847988025641e+01,0.000000000000000000e+00
-4.175016126851939191e+01,0.000000000000000000e+00
-4.172269405715852031e+01,0.000000000000000000e+00
-4.169522684579765581e+01,0.000000000000000000e+00
-4.166775963443679132e+01,0.000000000000000000e+00
-4.164029242307591971e+01,0.000000000000000000e+00
-4.161282521171504811e+01,0.000000000000000000e+00
